# timestamp tx ty tz qx qy qz qw
1766983265.899993 54.851765 -301.691895 74.966049 0.760588 -0.259739 -0.565380 -0.185440
1766983265.999841 53.535446 -303.013153 74.958031 0.759300 -0.263202 -0.563703 -0.190859
1766983266.099934 52.170406 -304.313782 74.948029 0.758409 -0.267328 -0.560733 -0.197308
1766983266.199892 50.777939 -305.630035 74.928535 -0.757610 0.273242 0.557343 0.201828
1766983266.299995 49.384853 -306.887085 74.896774 0.754433 -0.281379 -0.556199 -0.205667
1766983266.399847 47.985786 -308.113068 74.858719 0.753529 -0.288277 -0.552567 -0.209191
1766983266.499940 46.567745 -309.341644 74.813255 0.752058 -0.295057 -0.549271 -0.213662
1766983266.599890 45.162777 -310.521698 74.760117 0.751280 -0.302864 -0.544373 -0.217968
1766983266.699972 43.733482 -311.719025 74.715584 0.748263 -0.309512 -0.542540 -0.223506
1766983266.799810 42.236473 -312.913696 74.676445 0.746461 -0.317012 -0.538990 -0.227573
1766983266.899904 40.735165 -314.093018 74.625435 0.744374 -0.325955 -0.534950 -0.231279
1766983266.999875 39.193752 -315.261353 74.569725 0.742044 -0.335025 -0.531680 -0.233336
1766983267.099966 37.644764 -316.387115 74.510803 0.734482 -0.341166 -0.536270 -0.237814
1766983267.199807 36.086086 -317.469910 74.447350 0.732533 -0.349407 -0.533469 -0.238162
1766983267.299891 34.511532 -318.517670 74.395264 0.730662 -0.355996 -0.531828 -0.237821
1766983267.399981 32.930523 -319.545990 74.348015 0.725764 -0.358680 -0.535862 -0.239723
1766983267.499823 31.342318 -320.563477 74.309143 0.725907 -0.363249 -0.532748 -0.239349
1766983267.599911 29.706215 -321.561279 74.275452 0.724855 -0.366998 -0.531457 -0.239690
1766983267.699889 28.060337 -322.538513 74.247932 0.725340 -0.370584 -0.528057 -0.240221
1766983267.799977 26.380898 -323.525421 74.246964 0.723320 -0.369600 -0.529769 -0.244025
1766983267.899822 24.677176 -324.478882 74.264923 0.721683 -0.369922 -0.529858 -0.248158
1766983267.999901 22.963224 -325.393036 74.290764 0.721264 -0.373422 -0.527417 -0.249331
1766983268.099994 21.237993 -326.273651 74.324951 0.721643 -0.379822 -0.522658 -0.248587
1766983268.199843 19.468386 -327.144958 74.349739 0.720997 -0.386889 -0.518474 -0.248324
1766983268.299927 17.672411 -327.999573 74.377281 0.720015 -0.393152 -0.514819 -0.248942
1766983268.399887 15.883288 -328.822296 74.423218 0.718811 -0.397681 -0.511519 -0.252010
1766983268.499981 14.059689 -329.648071 74.451546 0.715361 -0.401866 -0.511237 -0.255732
1766983268.599804 12.242383 -330.454529 74.454498 0.708410 -0.407680 -0.514573 -0.259166
1766983268.699895 10.376816 -331.241364 74.458305 0.702666 -0.411312 -0.517068 -0.264051
1766983268.799992 8.499009 -332.001038 74.468155 0.701754 -0.413486 -0.513570 -0.269848
1766983268.899843 6.613950 -332.720947 74.464363 0.704619 -0.417048 -0.504599 -0.273794
1766983268.999939 4.728381 -333.437469 74.461594 0.707912 -0.422719 -0.494465 -0.275088
1766983269.099794 2.822104 -334.124603 74.457375 0.708046 -0.428939 -0.488275 -0.276170
1766983269.199886 0.881301 -334.782440 74.440170 0.706512 -0.435367 -0.484014 -0.277537
